Dataset,Edges,Avg. Degree,Max. Degree,Recall@5,DC,Avg. DC,Efficiency,ST,Lambda,DC_BF,ST_BF,DM
TAE,133.5,3.61,6,0.99,916,28.62,0.61,0,2,2368,0.02,l2
IRIS,199,3.79,7,1,944,20.98,0.8,0,2,4725,0.02,l2
WINE,318,5.13,11,1,2294,42.48,0.66,0.02,5,6696,0.03,l2
IMAGE,280.5,3.82,7,0.99,2137,33.92,0.77,0.02,5,9261,0.06,l2
GLASS,320,4.3,8,0.99,2876,44.94,0.7,0.01,9,9536,0.05,l2
LIBRAS,536,4.64,11,0.99,5166,52.18,0.77,0.15,6,22869,0.65,l2
PARKINSON,1851,7.01,20,0.99,22005,96.94,0.82,4.53,8,119856,27.65,l2
VEHICLE,1714.5,5.79,11,1,10729,42.24,0.93,0.12,6,150368,1.07,l2
VOWEL,1853,5.35,10,0.99,25712,86.57,0.88,0.26,15,205821,1.19,l2
SEGMENT,3692.5,5.06,10,0.99,27847,44.48,0.97,0.3,5,913960,6.75,l2
SPAMBASE,12065,8.2,22,0.98,208166,165.08,0.94,4.78,12,3709862,68.62,l2
BANANA,6114.5,3.3,5,0.98,48357,30.45,0.99,0.34,5,5880364,13.24,l2
PHONEME,10049.5,5.37,10,0.98,92310,57.51,0.98,0.71,7,6009120,19.5,l2
TEXTURE,11844.5,6.18,13,0.98,126831,77.24,0.98,2.9,11,6290502,99,l2
OPTDIGITS,19436.5,9.88,26,0.99,229442,136.09,0.97,5.91,11,6632724,138.62,l2
THYROID,17267.5,6.92,14,0.98,217774,101.81,0.98,2.66,13,10673610,86.01,l2
RING,53961.5,20.83,60,0.98,1677404,755.59,0.85,29.49,28,11499600,89.11,l2
PENBASED,28840,7.5,15,0.96,227888,69.1,0.99,2.65,6,25374812,167.61,l2
LETTER,53477.5,8.19,22,0.96,951809,169.94,0.99,12.75,18,73188267,480.49,l2
MAGIC,53120,8.03,16,0.98,558378,98.44,0.99,6.44,14,75057576,492.83,l2
SHUTTLE,117869,5.81,11,0.96,2801477,161,1,40.38,50,706422600,3173.92,l2
MNIST,699461.5,20.01,64,1,84346,843.46,0.99,132.53,50,6990000,10304.59,l2
M_50100x2,82992.5,3.32,5,1,4359,43.59,1,0.29,5,5000000,53.2,l2
C_50100x100x3,1218370.5,48.73,663,0.96,608320,6083.2,0.88,33.82,50,5000000,158.95,l2
RU_50100x100,2003064,80.12,636,0.96,1137328,11373.28,0.77,47.54,90,5000000,101.16,l2
RU_10100x10,90700,18.14,36,0.98,38300,383,0.96,0.59,15,1000000,5.51,l1
RU_10100x10,63141,12.63,29,0.99,27807,278.07,0.97,0.41,15,1000000,5.53,l2
RU_10100x10,67666,13.53,42,0.98,31560,315.6,0.97,0.48,15,1000000,5.68,l3
RU_10100x10,90703,18.14,70,0.98,43199,431.99,0.96,0.68,15,1000000,5.55,l5
RU_10100x10,125600,25.12,116,0.96,62259,622.59,0.94,1.11,15,1000000,5.62,l10
RU_10100x10,61140,12.23,22,0.99,25406,254.06,0.97,0.45,15,1000000,9.81,cosine
SIFT_SMALL,263761,21.1,99,0.98,48646,486.46,0.98,12.58,15,2500000,626.99,l2
SIFT,1334851.5,26.7,132,0.98,11809,1180.9,0.99,3.23,30,1000000,249.82,l2
